OBJECTID,GlobalID,CreationDate,Creator,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,Location,Date,Latitude,Longitude,notes
180,{F756D7E1-74B6-48ED-AA47-211BDDA36FF8},2025-10-19T14:51:32Z,jotmille_UCSC,NA,46.79,4.76,2.71,NA,20.44,23.52,41.17,9,7,14,12,40,191,110,NA,Female,Adult,65,NA,Dipodomys heermanni,Di,978,NA,FONR,2025-10-19T14:44:31Z,36.68766609,-121.7803928,NA NA
183,{AC65D88D-C677-4BDA-AFB8-B733EEA3F9CD},2025-10-19T15:03:55Z,jotmille_UCSC,NA,49.11,5.41,3.18,NA,23.01,24.05,42.53,8,8,16,12,42,203,120,NA,Female,NA,78,NA,Dipodomys heermanni,Di,951,NA,FONR,2025-10-19T14:55:35Z,36.68748540929324,-121.7803944,NA NA
187,{4228C5A7-4E4C-4A8C-8D1D-5B9B788B9F59},2025-10-19T16:16:17Z,jotmille_UCSC,NA,46.48,5.55,3.04,NA,22.59,17.12,42.57,7,7,15,12,42,186,108,NA,Female,Adult,70,NA,Dipodomys heermanni,Di,982,NA,FONR,2025-10-19T16:09:41Z,36.66312009771188,-121.7535108,NA NA
192,{F548107E-574E-46AA-B984-E5ED096D15C8},2025-10-19T16:26:04Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,119,yes,FONR,2025-10-19T16:25:39Z,36.66270063379185,-121.7528659,NA NA
195,{C733DD13-F235-460A-B614-7D04F4B798CF},2025-10-19T16:46:18Z,jotmille_UCSC,NA,45.6,5.09,2.7,NA,20.15,26.01,44.93,7,6,16,14,43,199,110,NA,Female,Adult,72,NA,Dipodomys heermanni,Di,946,NA,FONR,2025-10-19T16:38:25Z,36.66651110874065,-121.7658456,NA NA
196,{32F48946-E3E0-4EF8-B02B-9BCE4C0FE0DC},2025-10-19T16:46:45Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,111,yes,FONR,2025-10-19T16:46:22Z,36.66651477046535,-121.7658474,NA NA
197,{60552B21-629F-4534-B872-6AAC6071B873},2025-10-19T16:47:07Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,118,yes,FONR,2025-10-19T16:46:50Z,36.66650834120809,-121.7658397,NA NA
198,{9185CAF5-749F-4BBE-A1E1-9AE8C0650EB0},2025-10-19T16:49:49Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,117,yes,FONR,2025-10-19T16:49:19Z,36.66723044182828,-121.7660799,NA NA
1,{B17F86DB-0716-47DC-97A0-B9A807DA8020},2026-06-30T16:37:50Z,jotmille_UCSC,NA,43.98,5.06,3.3,30.21,15.04,22.15,38.87,7,5,13,13,43,171,94,non-reproductive,Female,Juvinile,58,72,Dipodomys heermanni,Di,F079,No,FONR,2026-06-30T16:42:25Z,36.66344033977877,-121.7534101,NA NA
2,{99775DEF-89B0-4618-9F5D-6D5F644A8AB1},2026-06-30T17:07:11Z,jotmille_UCSC,NA,42.36,4.75,2.84,32.63,20.6,22.13,42.07,7,5,16,11,41,189,102,lactating,Female,Adult,66,80,Dipodomys heermanni,Di,F023,No,FONR,2026-06-30T17:07:12Z,36.665060285321104,-121.7547549,NA NA
3,{81CB68F0-D705-41F6-A104-75F76C773A02},2026-06-30T17:45:00Z,jotmille_UCSC,NA,41.53,4.86,2.92,30.22,20.43,20.15,38.42,8,7,15,14,44,153,101,non-reproductive,Female,Juvinile,46,72,Dipodomys heermanni,Di,F002,No,FONR,2026-06-30T17:45:02Z,36.66533377459275,-121.7548842,NA NA
4,{C9A7B1A2-8C45-4016-BFAB-7F31DBA47999},2026-06-30T17:54:45Z,jotmille_UCSC,NA,45.51,5.36,2.92,32.67,18.1,21.12,40.23,8,6,14,12,41,182,100,non-reproductive,Female,Juvinile,NA,75,Dipodomys heermanni,Di,F003,No,FONR,2026-06-30T17:55:09Z,36.66549540321184,-121.7548378,Left foot is crushed old injury NA
5,{AA611655-4438-4932-AEBB-A163EF231831},2026-06-30T16:28:23Z,rmcrowle@ucsc.edu_UCSC,NA,45.67,5.1,2.97,34.46,18.53,22.33,44.6,6,5,15,11,41,199,104,lactating,Female,Adult,70,88,Dipodomys heermanni,DI,F098,No,FONR,2026-06-30T16:28:26Z,36.663413416666664,-121.7533341,NA NA
6,{ED827535-E88A-4ADE-9E51-3120A86F090C},2026-07-01T17:00:00Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Dipodomys heermanni,Di,F023,Yes,FONR,2026-07-01T17:00:03Z,36.66510086821271,-121.754721,NA NA
7,{C3F9AF32-536A-4A65-81CC-8E99208DEA15},2026-07-01T17:34:57Z,jotmille_UCSC,NA,45.63,5.06,3.57,32.15,20.41,NA,40.95,8,5,15,14,40,178,97,lactating,Female,Adult,60,80,Dipodomys heermanni,Di,NA,No,FONR,2026-07-01T17:34:59Z,NA,NA,Escapee NA
8,{72E45701-EB46-4F0F-BDCA-7868AFA6AB74},2026-07-01T17:46:35Z,jotmille_UCSC,NA,45.78,5.19,3.52,33.91,NA,NA,43.21,7,6,15,11,43,191,97,lactating,Female,Adult,70,90,Dipodomys heermanni,Di,F067,No,FONR,2026-07-01T17:46:39Z,36.66316947515346,-121.7534993,NA NA
9,{3B3D1C87-578F-4094-968C-543E8757A2F1},2026-07-01T17:59:19Z,jotmille_UCSC,NA,44.05,5.09,3.4,31.56,23.67,23.32,41.84,8,5,13,14,41,174,90,non-reproductive,Female,Adult,55,90,Dipodomys heermanni,Di,F083,No,FONR,2026-07-01T17:59:21Z,36.66326471014672,-121.7533984,NA NA
10,{DF5D5FAC-605E-47FA-B7D3-018F24660BC7},2026-07-02T16:10:02Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,821,Yes,FONR,2026-07-02T16:10:03Z,36.665180032175776,-121.7547676,NA NA
11,{EA7FBC31-D3C2-462E-9F83-B2CA462FFAD9},2026-07-02T16:34:32Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Dipodomys heermanni,Di,F003,Yes,FONR,2026-07-02T16:34:35Z,36.66546151830091,-121.7549302,NA NA
12,{F568401D-4FAD-4B87-8AAE-073FBF12FBA6},2026-07-02T17:16:06Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,F098,Yes,FONR,2026-07-02T17:16:08Z,36.663304338643044,-121.7533785,NA NA
13,{499B5A2E-E485-40D9-A130-13B74EF7C698},2026-07-02T17:20:56Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,Di,F079,No,FONR,2026-07-02T17:21:05Z,36.663467098079664,-121.753446,F2 NA
14,{B38C1633-E4E5-4829-B456-A734E01F118B},2026-07-01T16:40:25Z,jotmille_UCSC,NA,49.31,5.88,3.31,34.35,24.52,25.3,45.78,7,7,16,14,42,199,107,reproductive,Male,Adult,90,105,Dipodomys heermanni,Di,821,No,FONR,2026-07-01T16:40:26Z,36.665161216666675,-121.754698,NA NA
15,{11A61E0E-F758-4D15-9B90-CEB8D0F17676},2026-07-02T14:54:53Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,NA,NA,No,FONR,NA,36.686023683333325,-121.776152,NA NA
16,{B2684429-93FC-4224-BD8D-24A33027B58B},2026-07-02T16:07:45Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dipodomys heermanni,NA,F0323,Yes,FONR,NA,36.66512765,-121.7548538,NA NA
17,{78E759B6-FADD-48B5-867C-F34B643E2523},2026-07-29T16:52:01Z,jotmille_UCSC,NA,40.24,5.11,3.42,39.16,16.23,21.24,39.96,7,5,13,12,40,172,92,"reproductive,non-reproductive",Female,Adult,46,57,Dipodomys heermanni,Dipodomys,F017,No,FONR,2026-07-29T16:52:04Z,NA,NA,NA NA
18,{A4798389-6176-452D-97EE-4B26DF4F4652},2026-07-29T17:02:18Z,jotmille_UCSC,NA,44.83,5.06,2.75,34.63,19.21,24.12,40.41,7,6,15,13,42,201,98,reproductive,Female,Adult,73,85,Dipodomys heermanni,Di,F098,Yes,FONR,2026-07-29T17:02:20Z,36.66327166666666,-121.7534078,NA NA
