OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,Tissue_Sample,Hind_Limb_Length,Foot_Width,Wrist_Width,Forelimb_Length_Nail_to_Elbow,Bolea_Head_Width,Maxillary_Head_Width,Head_Length,Finger_Length,Hand_Width,Ear_Length_Notch,Toe_Length,Foot_Length,Tail_Length,Body_Length,Reproductive_Stage,Sex,Life_Stage,Weight_Animal_Only,Weight_Bag_Animal,Species,Genus,Tag,YN_Recapture,YN_Animal,LOC,DT,esrignss_speed,esrignss_direction,esrisnsr_azimuth,esrignss_positionsourcetype,esrignss_receiver,esrignss_h_rms,esrignss_v_rms,esrignss_latitude,esrignss_longitude,esrignss_altitude,esrignss_pdop,esrignss_hdop,esrignss_vdop,esrignss_fixtype,esrignss_correctionage,esrignss_stationid,esrignss_numsats,esrignss_fixdatetime,esrignss_avg_h_rms,esrignss_avg_v_rms,esrignss_avg_positions,esrignss_h_stddev,NOTES,Foot_mm,Subspecies_Code,Species_Code,Tripped_Trap_y_n,Bait_Stolen_y_n,Recap_y_n,Animal_y_n,date_time,KRAT_Forelimb_Width_mm,esrignss_orthometric_height,esrignss_correction_source_type,esrignss_correction_source_name,esrignss_ntrip_mount_point,esrignss_antenna_height,esrignss_receiver_gcs,esrignss_receiver_gcs_wkid,esrignss_receiver_ref_epoch,esrignss_profile_has_hor_xform,esrignss_profile_hor_xform,esrignss_receiver_geoid,esrignss_h_95_status,esrignss_custom_attributes,Date_and_time,Weight_bag_only,Teeth
38,{67084CC5-16A5-4D8F-8E1D-ED9FCE2E4BE8},2026-06-23T14:03:13Z,rmcrowle@ucsc.edu_UCSC,2026-06-23T14:03:13Z,rmcrowle@ucsc.edu_UCSC,Subadult,NA,47.17,5.39,3.12,35.90,23.82,18.45,45.3,9,5,16,15,43,222,109,Non-Reproductive,Female,Adult,64,80,Ve,Di,B135,No,No,HASTINGS,2026-06-23T14:03:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,{125A0CDF-67C1-44A4-81A7-8D8CAF5E89E1},2026-06-23T14:34:13Z,rmcrowle@ucsc.edu_UCSC,2026-06-23T14:34:13Z,rmcrowle@ucsc.edu_UCSC,Nasty wound on base of belly near leg,NA,50.01,5.55,2.94,38.12,20.34,24.44,47.08,9,6,16,14,44,227,114,Non-Reproductive,Female,Adult,NA,100,Ve,Di,822,No,No,HASTINGS,2026-06-23T14:34:22Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,{61C3BC4D-8FF6-4DEC-AAC7-A511707B73FC},2026-06-23T13:17:40Z,jotmille_UCSC,2026-06-23T13:17:40Z,jotmille_UCSC,NA,NA,48.29,5.62,3.27,35.02,25.53,NA,48.88,8,7,18,11,41,217,120,Unknown,Female,Adult,15,115,Ve,De,843,No,No,HASTINGS,2026-06-23T13:17:59Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,{29591CCE-E141-4418-A3FF-522190C09DAA},2026-06-24T13:56:31Z,jotmille_UCSC,2026-06-24T13:56:31Z,jotmille_UCSC,Recap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ve,Di,135,No,No,HASTINGS,2026-06-24T13:56:39Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,{7CA947C7-0CD9-4FEE-825B-7F823332F36B},2026-06-24T13:31:07Z,rmcrowle@ucsc.edu_UCSC,2026-06-24T13:31:07Z,rmcrowle@ucsc.edu_UCSC,Mightve sewn yesterday didn't tag. Has blue feet when we caught it that's why we think it was the untagged from the day before,NA,49.41,5.70,3.47,40.68,22.25,NA,45.41,9,6,17,15,44,228,111,Non-Reproductive,Female,Adult,77,92,Ve,Di,824,No,No,HASTINGS,2026-06-24T13:31:09Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,{C2AE4215-8190-451B-9388-E5C09B0D9211},2026-06-24T14:04:59Z,rmcrowle@ucsc.edu_UCSC,2026-06-24T14:04:59Z,rmcrowle@ucsc.edu_UCSC,"Escaped right out of the trap, saw that it was tagged but couldn't read it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ve,Di,NA,No,No,NA,2026-06-24T14:05:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,{77B87A6B-F845-413D-97EB-B424CCBBF57B},2026-06-25T13:18:51Z,rmcrowle@ucsc.edu_UCSC,2026-06-25T13:18:51Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,54,95,He,Di,843,Yes,No,HASTINGS,2026-06-25T13:18:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,{AF5C69E9-A8EA-48A2-B23A-3DD46D316C78},2026-06-25T13:30:48Z,rmcrowle@ucsc.edu_UCSC,2026-06-25T13:30:48Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,101,NA,NA,Adult,NA,92,Ve,Di,839,Yes,No,HASTINGS,2026-06-25T13:30:49Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,{EDF9FF79-68A6-487C-8F11-CD073F16BA30},2026-06-25T14:21:58Z,rmcrowle@ucsc.edu_UCSC,2026-06-25T14:21:58Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Ve,Di,135,Yes,No,NA,2026-06-25T14:21:59Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,{FEB74BF2-0B74-42AD-B6D5-9F09D9F4F6B8},2025-06-22T13:16:28Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,NA,NA,NA,NA,1.86,NA,NA,37.73,45.35,NA,NA,18,NA,NA,230,108,NA,NA,NA,83,NA,NA,Di,NA,NA,NA,Hastings,NA,0.01021108663043755,116.8659357545387,71.75609588623047,2,iPhone 15 Pro Max,4.74865153025832,4.487087438102936,36.38159445016123,-121.5428961424813,591.2760723438114,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:08:03Z,NA,NA,NA,NA,Released before tagging,48,NA,NA,NA,NA,NA,yes,2025-06-22T13:08:06Z,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,{C49E51CE-1C75-4A5F-8528-AF20F7F4AE0E},2025-06-22T13:32:05Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,Forelomb length 32.02,NA,NA,NA,2.33,NA,NA,28.58,45.44,NA,NA,19,NA,NA,249,103,Unknown,Female,Adult,NA,NA,NA,Di,748,NA,NA,Hastings,NA,0,205.7792880714765,15.5155086517334,2,iPhone 15 Pro Max,4.748651530191761,4.817027213502873,36.38172758801286,-121.5429777995105,593.1015183320269,NA,NA,NA,NA,NA,NA,NA,2025-06-22T13:18:26Z,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,2025-06-22T13:20:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,{A88CF80E-8AE9-4F14-9A3D-3A058082F354},2025-06-22T14:18:18Z,jotmille_UCSC,2026-01-29T19:11:19Z,jotmille_UCSC,Forelimb 34 l,NA,NA,NA,2.3,NA,NA,31.27,45.93,NA,NA,20,NA,NA,222,97,Unknown,Female,NA,95,NA,NA,Di,102,NA,NA,Hastings,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,2025-06-22T14:03:35Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,{5890F4A3-D106-4FD9-A82F-112A53FF3672},2025-06-22T14:40:30Z,jotmille_UCSC,2026-01-29T19:11:17Z,jotmille_UCSC,Forelimb l 36.83 released before tagging and prints,NA,NA,NA,2.95,NA,NA,32.64,47.06,NA,7,19,NA,NA,176,105,Unknown,Female,NA,107-,NA,NA,Di,Not tagged,NA,NA,Hastings,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,2025-06-22T14:33:09Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,{C20A9398-35A6-48E9-AE2A-2DFFF20CA52D},2025-06-22T16:50:27Z,jotmille_UCSC,2026-01-29T19:07:27Z,jotmille_UCSC,34.60,NA,NA,NA,3.58,NA,NA,30.6,41.76,NA,7,17,NA,NA,178,88,NA,Female,Adult,NA,NA,NA,Di,108,NA,NA,Hastings,NA,0,164.1805644357423,30.82740211486816,2,iPhone 15 Pro Max,4.748651530191761,4.314171434602757,36.38459357026601,-121.5493462510923,562.4488804340363,NA,NA,NA,NA,NA,NA,NA,2025-06-22T16:39:31Z,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,2025-06-22T16:39:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,{10BF9F13-01B5-49BB-B553-A68EFAD124FE},2025-07-12T15:31:38Z,jotmille_UCSC,2025-07-13T19:40:46Z,jotmille_UCSC,Tissue 17,NA,48,NA,3.37,NA,NA,34.5,42,9,8,16,13,NA,185,101,NA,Female,Adult,65,NA,NA,Di,101,NA,NA,FONR,NA,0,NA,338.6339111328125,2,iPhone 15 Pro Max,8.751679597767932,6.687610997323342,36.68743170695581,-121.7795967950974,35.55832317750901,NA,NA,NA,NA,NA,NA,NA,2025-07-12T15:18:24Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,NA,2025-07-12T15:18:27Z,Forelimb length 34.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,{16E7C340-4355-4874-8791-F7EF2761148F},2025-07-12T16:14:24Z,jotmille_UCSC,2025-07-13T19:40:40Z,jotmille_UCSC,Tissue 15,NA,46.68,NA,3.23,NA,NA,32.22,43.35,7,8,14,NA,NA,197,96,NA,Female,Adult,75,NA,NA,Di,110,NA,NA,FONR,NA,0.3145843507043788,15.09252885150295,320.0762329101562,2,iPhone 15 Pro Max,4.87915346547065,3.813497308935676,36.6783160950658,-121.767693887495,39.35239499807358,NA,NA,NA,NA,NA,NA,NA,2025-07-12T16:12:24Z,NA,NA,NA,NA,NA,40,NA,He,NA,NA,NA,NA,2025-07-12T16:04:41Z,Length 31.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,{76E00EAD-2023-4012-B853-FFA25979B897},2025-07-12T17:16:45Z,jotmille_UCSC,2025-07-12T17:16:45Z,jotmille_UCSC,Tissue 16,NA,48,NA,3.13,NA,NA,29.56,43.66,8,6,15,12,NA,200,99,Unknown,Male,NA,66,NA,NA,Di,103,NA,NA,FONR,NA,0,176.6954962465956,359.8787536621094,2,iPhone 15 Pro Max,6.20232750840216,4.841329234578986,36.66717448403249,-121.7661910349067,43.9180818842724,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:08:44Z,NA,NA,NA,NA,NA,43,NA,He,NA,NA,NA,NA,2025-07-12T17:08:45Z,Length 31.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,{334CEBBF-60A1-411A-9C22-4DA9081D7352},2025-07-12T17:45:37Z,jotmille_UCSC,2025-07-13T19:40:22Z,jotmille_UCSC,Tissue 9,NA,44.84,NA,3.14,NA,NA,27.07,NA,8.5,6,16,12,NA,188,118,Lactating,Female,Adult,82,NA,NA,Di,109,NA,NA,FONR,NA,0,65.9356043495699,217.6851959228516,2,iPhone 15 Pro Max,6.642786320608371,5.952872322255056,36.66295344328213,-121.7529567346325,47.54577584471554,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:33:18Z,NA,NA,NA,NA,NA,42,NA,He,NA,NA,NA,NA,2025-07-12T17:33:18Z,Length 32.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,{C2335301-C703-461F-B05F-E33666370ADE},2025-07-12T18:05:12Z,jotmille_UCSC,2025-07-13T19:49:39Z,jotmille_UCSC,Tissue sample 5,NA,48.07,NA,3.08,NA,NA,31.01,39.77,8,6,15,14,39,182,110,Reproductive,Male,Adult,79,NA,NA,Di,407,NA,NA,FONR,NA,0,294.8392080146547,250.0940856933594,2,iPad mini 6,3.61014928118684,3.14341938914341,36.66260613394979,-121.7528231708857,47.22095060348511,NA,NA,NA,NA,NA,NA,NA,2025-07-12T17:49:01Z,NA,NA,NA,NA,Part of ear missing,39,NA,HE,no,no,yes,yes,2025-07-12T17:50:15Z,Length: 30.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,{196AB800-A8A8-4B37-8678-00BB397A9503},2025-07-12T18:14:49Z,jotmille_UCSC,2025-07-13T19:49:32Z,jotmille_UCSC,Tissue sample 10,NA,45.45,NA,30.37,NA,NA,30.23,40.51,9,7,125,14,NA,184,98,Not Reproductive,Female,Adult,68,NA,NA,Di,12,NA,NA,FONR,NA,0,56.75289538033802,266.8168029785156,2,iPad mini 6,6.482766919223241,5.548620629620924,36.6628205711277,-121.7529705770998,47.36236260272563,NA,NA,NA,NA,NA,NA,NA,2025-07-12T18:06:46Z,NA,NA,NA,NA,NA,48,NA,HE,no,no,no,yes,2025-07-12T18:07:12Z,Length: 35.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,{6F0F6D7F-602B-4E6F-AA6E-FF766631715D},2025-07-13T15:14:24Z,jotmille_UCSC,2025-07-13T15:14:24Z,jotmille_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,NA,NA,NA,FONR,NA,0.5048019826412201,NA,241.1145629882812,2,iPhone 15 Pro Max,6.23194185382867,3,36.6663062004607,-121.765587925861,48.5571799483286,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:13:51Z,NA,NA,NA,NA,Let go before data collection,NA,NA,He,NA,NA,NA,NA,2025-07-13T15:13:52Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,{D057E7A0-9BBE-4702-8D7D-A30BA7E35088},2025-07-13T17:13:51Z,jotmille_UCSC,2025-07-22T04:47:27Z,rmcrowle@ucsc.edu_UCSC,Tissue 18,NA,43.84,NA,3,NA,NA,26.57,42.27,8,7,17,17,NA,200,97,NA,Female,Adult,70,NA,NA,Di,106,NA,NA,FONR,NA,0.6334396541118622,NA,69.8569107055664,2,iPhone 15 Pro Max,6.03575042362729,3,36.6779561963803,-121.7677343546871,36.33817309864219,NA,NA,NA,NA,NA,NA,NA,2025-07-13T17:05:24Z,NA,NA,NA,NA,NA,39,NA,He,NA,NA,NA,NA,2025-07-13T17:06:29Z,Length 32.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,{495AC32D-A469-4AB6-8807-42D0445377FB},2025-07-13T17:45:09Z,jotmille_UCSC,2025-07-13T19:39:17Z,jotmille_UCSC,Tissue 1,NA,46.85,NA,3.16,NA,NA,26.2,44.78,8,7,15,14,NA,196,105,NA,Female,Adult,77,NA,NA,Di,124,NA,NA,FONR,NA,0.02617402151226997,274.672478404497,93.26949310302734,2,iPhone 15 Pro Max,4.74865153019176,8.513213312957847,36.68769905557998,-121.7803546757064,36.22445653565228,NA,NA,NA,NA,NA,NA,NA,2025-07-13T17:36:53Z,NA,NA,NA,NA,NA,40,NA,He,NA,NA,NA,NA,2025-07-13T17:36:55Z,Forelimb length 31.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,{2FD6F21D-BAD6-4DAB-8C82-679B58CE154E},2025-07-13T15:55:16Z,fonr_intern_UCSC,2025-07-13T19:49:25Z,jotmille_UCSC,Tissue 4,NA,46.17,NA,2.68,NA,NA,28.65,43.87,8,8,17,15,NA,189,96,Reproductive,Female,Adult,85,NA,NA,Di,112,NA,NA,FONR,NA,0,NA,138.3474731445312,2,iPad mini 6,4.748651530191761,4.029364438188556,36.66330780837386,-121.7534648628177,47.33259584661573,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:41:42Z,NA,NA,NA,NA,NA,45,NA,HE,no,no,no,yes,2025-07-13T15:41:44Z,Length 42.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,{09964AF5-0BEA-44F6-B7D8-3841FAC75F16},2025-07-13T16:01:06Z,fonr_intern_UCSC,2025-07-13T19:49:52Z,jotmille_UCSC,Tissue 8,NA,48.91,NA,3.84,NA,NA,26.47,41.02,8,7,17,13,NA,206,114,Not Reproductive,Male,Adult,75,NA,NA,Di,113,NA,NA,FONR,NA,0.09339931136663274,NA,327.4072875976562,2,iPad mini 6,5.165330038992426,4.07186683418829,36.66300672431274,-121.7531358728006,50.01094058714807,NA,NA,NA,NA,NA,NA,NA,2025-07-13T15:55:22Z,NA,NA,NA,NA,NA,41,NA,HE,no,no,no,yes,2025-07-13T15:55:25Z,Length 31.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,{F1100A79-8394-483B-8095-250519A2B38E},2025-07-13T16:15:48Z,fonr_intern_UCSC,2025-07-13T19:49:58Z,jotmille_UCSC,Tissue 3,NA,45.12,NA,3.67,NA,NA,34.51,45.44,8,6,16,8,NA,207,110,Lactating,Female,Adult,85,NA,NA,Di,114,NA,NA,FONR,NA,0.05089250071151946,NA,319.2681274414062,2,iPad mini 6,4.6604916222173864,3.183354480232956,36.66300317382354,-121.7531323969342,50.23476174473763,NA,NA,NA,NA,NA,NA,NA,2025-07-13T16:05:32Z,NA,NA,NA,NA,NA,41,NA,HE,NA,no,no,yes,2025-07-13T16:05:41Z,Length 28.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,{915BB543-8BDE-4434-8FB6-ABC990AB20B6},2025-09-28T15:09:04Z,jotmille_UCSC,2025-09-28T15:09:04Z,jotmille_UCSC,Let go on accident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,191,105,NA,NA,NA,77,NA,NA,Di,NA,NA,NA,FONR,NA,2.07356858253479,173.3584246826845,53.37464904785156,2,iPhone 15 Pro Max,3.293720064025265,3,36.68559358077792,-121.775950375507,41.03301492709716,NA,NA,NA,NA,NA,NA,NA,2025-09-28T14:57:07Z,NA,NA,NA,NA,NA,NA,NA,He,NA,NA,NA,yes,2025-09-28T14:57:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,{0DC47928-75E9-412F-9E46-B45E2161492D},2025-09-28T15:18:34Z,jotmille_UCSC,2025-09-28T15:18:34Z,jotmille_UCSC,2nd head width 19.62 tissue # RC2025-21,NA,47.52,4.76,2.6,NA,NA,27.54,42.95,6,6,16,9,NA,195,106,NA,NA,NA,NA,NA,NA,Di,123,NA,NA,FONR,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forelimb length 30.84,41,NA,He,NA,NA,NA,yes,2025-09-28T15:09:23Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,{42EEBEAE-9B89-4ED0-9180-EA58D503090A},2025-09-28T16:41:05Z,jotmille_UCSC,2025-09-28T16:41:05Z,jotmille_UCSC,"Head width 2: 17.93
Forelimb length: 32.38
Vial: RC2025-27 Tissue",NA,47.36,5.13,2.68,NA,NA,26.5,44.2,8,7,16,15,40,196,100,Reproductive,Female,Adult,77,NA,NA,Di,121,NA,NA,FONR,NA,0,336.4453125,5.756379127502441,2,iPad mini 6,3.576546903473699,3,36.68749936277649,-121.780527454756,36.76576232910156,NA,NA,NA,NA,NA,NA,NA,2025-09-28T16:28:29Z,NA,NA,NA,NA,NA,NA,NA,He,no,no,no,yes,2025-09-28T16:28:34Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,{AFB84D82-EE41-4BA0-91A3-279B999B40F5},2025-10-18T14:22:00Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T14:22:00Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,42,199,106,NA,NA,Adult,96 -,NA,NA,DI,718,NA,NA,FONR,NA,0,0,2.122423441416913,2,Samsung SM-A716U,2.82,3.29,36.6855436,-121.7759445166667,6.700000000000003,0.9,0.6,0.7,1,NA,NA,21,2025-10-18T14:16:37Z,NA,NA,NA,NA,NA,NA,NA,HE,no,no,yes,yes,2025-10-18T14:16:40Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,{396C14E3-E92E-4903-8A8E-6ABA33E006EC},2025-10-18T14:38:59Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T14:38:59Z,rmcrowle@ucsc.edu_UCSC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Di,123,NA,NA,FONR,NA,0,0,294.964523327026,2,Samsung SM-A716U,2.82,2.82,36.68595688333333,-121.7756732833333,4.799999999999997,0.9,0.6,0.6,1,NA,NA,22,2025-10-18T14:37:38Z,NA,NA,NA,NA,NA,NA,NA,He,no,no,yes,yes,2025-10-18T14:37:41Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,{C0D1B3B4-432C-41EC-8C49-174B5806A752},2025-10-18T15:19:15Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T15:19:15Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 35.68
Head Width pm: 25.56
Tissue sample: 6
Nose bleeding",NA,NA,5.46,NA,NA,18.7,NA,44.01,9,7,16,15,NA,203,110,Not Reproductive,Female,Adult,85 -,NA,NA,Di,120,NA,NA,FONR,NA,0,0,147.4228440266902,2,Samsung SM-A716U,2.82,2.82,36.66313093333333,-121.7534262166667,14.1,0.9,0.6,0.6,1,NA,NA,21,2025-10-18T15:06:09Z,NA,NA,NA,NA,NA,43,NA,He,no,no,no,yes,2025-10-18T15:07:05Z,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,{C89EDF0C-171A-4089-BA7C-E7B634E789E2},2025-10-18T15:34:47Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T15:35:41Z,rmcrowle@ucsc.edu_UCSC,"Missing 1 toe on front right hand
Forelimb length: 37.76mm
Head Width B: 18.28mm
Head Width pm: 26.05mm
Tissue #: 1",NA,48.51,4.78,NA,NA,NA,NA,36.11,7,6,16,13,38,180,107,Unknown,Male,Adult,88 - 18,NA,NA,Di,407,NA,NA,FONR,NA,0,0,95.77831522155225,2,Samsung SM-A716U,2.82,2.82,36.66312946666667,-121.7533687166666,14.2,0.8,0.6,0.6,1,NA,NA,22,2025-10-18T15:21:43Z,NA,NA,NA,NA,NA,NA,NA,He,yes,no,yes,yes,2025-10-18T15:21:48Z,3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,{526E9DB6-9478-4173-8C63-96C6660DD3D9},2025-10-18T16:04:38Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T16:04:38Z,rmcrowle@ucsc.edu_UCSC,"Forelimb length: 32.97mm
Head Width pm: 22.74
Head Width b: 23.48
",NA,47.56,4.85,2.5,NA,NA,NA,41.49,8,7,17,15,42,199,110,Reproductive,Female,Adult,82 - 19,NA,NA,Di,115,NA,NA,FONR,NA,0,0,183.1442179339457,2,Samsung SM-A716U,2.82,3.29,36.66267143333333,-121.7528715666667,15.3,0.9,0.6,0.7,1,NA,NA,20,2025-10-18T15:52:48Z,NA,NA,NA,NA,NA,NA,NA,He,yes,no,no,yes,2025-10-18T15:52:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,{8811F861-4BFE-492A-9032-F86B7FA72746},2025-10-18T16:13:51Z,rmcrowle@ucsc.edu_UCSC,2025-10-18T16:13:51Z,rmcrowle@ucsc.edu_UCSC,"Head Width pm: 25.93mm
Head Width b: 23.68mm
Forelimb length: 28.32mm
Sample #: 11",NA,46.05,4.93,2.56,NA,NA,NA,43.72,8,7,17,15,42,197,98,NA,NA,NA,91 -27,NA,NA,Di,119,NA,NA,FONR,NA,0,0,148.6895845705392,2,Samsung SM-A716U,2.82,3.29,36.66259986666667,-121.7528449166667,11.7,0.9,0.6,0.7,1,NA,NA,21,2025-10-18T16:04:42Z,NA,NA,NA,NA,NA,NA,NA,He,yes,NA,no,yes,2025-10-18T16:09:06Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
